                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.24099,                0.42857,                      1,                0.15386,                      0,                      0,                      0
                      2,                0.24099,                0.35714,                      1,                0.15345,             6.4331e-06,             6.4331e-06,             6.4331e-06
                      3,                0.23868,                0.35714,                      1,                 0.1528,             1.1453e-05,             1.1453e-05,             1.1453e-05
                      4,                0.23462,                0.35714,                      1,                0.15213,             1.5058e-05,             1.5058e-05,             1.5058e-05
                      5,                0.22937,                    0.5,                      1,                0.15138,              1.725e-05,              1.725e-05,              1.725e-05
                      6,                0.22347,                    0.5,                      1,                0.15063,             1.8028e-05,             1.8028e-05,             1.8028e-05
                      7,                0.21744,                    0.5,                      1,                0.14999,             1.7393e-05,             1.7393e-05,             1.7393e-05
                      8,                0.21177,                    0.5,                      1,                 0.1495,             1.5344e-05,             1.5344e-05,             1.5344e-05
                      9,                0.20688,                0.64286,                      1,                0.14915,             1.1881e-05,             1.1881e-05,             1.1881e-05
                     10,                0.20317,                0.64286,                      1,                0.14894,             7.0043e-06,             7.0043e-06,             7.0043e-06
